date,y_hat,y_real,signal,signal_prev,cost,pnl,hyperparam
2025-01-06 00:00:00-05:00,-0.0011446851811645377,0.03375610363261792,-1,0,0.0,-0.03375610363261792,1
2025-01-07 00:00:00-05:00,0.01175740929150854,-0.06418615432540818,1,-1,0.0,-0.06418615432540818,1
2025-01-08 00:00:00-05:00,0.01862319759699462,-0.0002140235770659516,1,1,0.0,-0.0002140235770659516,1
2025-01-10 00:00:00-05:00,0.012954711607993039,-0.03043478623657809,1,1,0.0,-0.03043478623657809,1
2025-01-13 00:00:00-05:00,0.010065715664049062,-0.019916029942706585,1,1,0.0,-0.019916029942706585,1
2025-01-14 00:00:00-05:00,0.002029115352917924,-0.011094994638631065,1,1,0.0,-0.011094994638631065,1
2025-01-15 00:00:00-05:00,0.010643712385912179,0.03343613963986933,1,1,0.0,0.03343613963986933,1
2025-01-16 00:00:00-05:00,0.013170763298968373,-0.01979246231562134,1,1,0.0,-0.01979246231562134,1
2025-01-17 00:00:00-05:00,-0.00133509312360151,0.030524345574771686,-1,1,0.0,-0.030524345574771686,1
2025-01-21 00:00:00-05:00,0.014641279038152261,0.022403487481705956,1,-1,0.0,0.022403487481705956,1
2025-01-22 00:00:00-05:00,0.006161613780266971,0.04335532156933688,1,1,0.0,0.04335532156933688,1
2025-01-23 00:00:00-05:00,-0.0017738094002300551,0.0010192720239710856,-1,1,0.0,-0.0010192720239710856,1
2025-01-24 00:00:00-05:00,-0.0030769324357223272,-0.031744427840295845,-1,-1,0.0,0.031744427840295845,1
2025-01-27 00:00:00-05:00,0.010689367439316536,-0.18594603665397563,1,-1,0.0,-0.18594603665397563,1
2025-01-28 00:00:00-05:00,0.003450771949409296,0.08549729482968607,1,1,0.0,0.08549729482968607,1
2025-01-29 00:00:00-05:00,-0.004767379540543716,-0.04187566998855154,-1,1,0.0,0.04187566998855154,1
2025-01-30 00:00:00-05:00,0.02481774251772552,0.007650574691991052,1,-1,0.0,0.007650574691991052,1
2025-01-31 00:00:00-05:00,0.009860551296928897,-0.03743490162743497,1,1,0.0,-0.03743490162743497,1
2025-02-03 00:00:00-05:00,-0.006620461697403211,-0.02881117217609697,-1,1,0.0,0.02881117217609697,1
2025-02-04 00:00:00-05:00,-0.0008672274787335354,0.01691423038528022,-1,-1,0.0,-0.01691423038528022,1
2025-02-05 00:00:00-05:00,0.007565973548032831,0.05077479483808351,1,-1,0.0,0.05077479483808351,1
2025-02-06 00:00:00-05:00,0.00045910784758268486,0.03037581440263808,1,1,0.0,0.03037581440263808,1
2025-02-07 00:00:00-05:00,0.009296068232809112,0.008974315361568286,1,1,0.0,0.008974315361568286,1
2025-02-10 00:00:00-05:00,-0.002541642883464224,0.028322757127322067,-1,1,0.0,-0.028322757127322067,1
2025-02-11 00:00:00-05:00,0.022655625472349016,-0.005781364125113791,1,-1,0.0,-0.005781364125113791,1
2025-02-12 00:00:00-05:00,0.012089092222930985,-0.012578889858638372,1,1,0.0,-0.012578889858638372,1
2025-02-13 00:00:00-05:00,0.016614088344605378,0.03115514993005512,1,1,0.0,0.03115514993005512,1
2025-02-14 00:00:00-05:00,0.008272257112950503,0.025973664080383454,1,1,0.0,0.025973664080383454,1
2025-02-18 00:00:00-05:00,0.008819376308926406,0.003953289974893495,1,1,0.0,0.003953289974893495,1
2025-02-19 00:00:00-05:00,0.006543929274728789,-0.001220289959028898,1,1,0.0,-0.001220289959028898,1
2025-02-20 00:00:00-05:00,-0.010187668857027214,0.006300573451117179,-1,1,0.0,-0.006300573451117179,1
2025-02-21 00:00:00-05:00,-0.0009760621062664017,-0.04138427875584398,-1,-1,0.0,0.04138427875584398,1
2025-02-24 00:00:00-05:00,-0.01070330295578234,-0.031357503090659954,-1,-1,0.0,0.031357503090659954,1
2025-02-25 00:00:00-05:00,0.012823144479262395,-0.02841661451290054,1,-1,0.0,-0.02841661451290054,1
2025-02-26 00:00:00-05:00,0.016821994253759815,0.03606311226195254,1,1,0.0,0.03606311226195254,1
2025-02-27 00:00:00-05:00,0.00552659753341728,-0.08859156346778775,1,1,0.0,-0.08859156346778775,1
2025-02-28 00:00:00-05:00,-0.0007113272935934077,0.03893255339328553,-1,1,0.0,-0.03893255339328553,1
2025-03-03 00:00:00-05:00,-0.0030892756619237518,-0.09094891427021023,-1,-1,0.0,0.09094891427021023,1
