Date,y_hat,y_real,signal,signal_prev,delta_pos,cost,pnl,hyperparam
2025-01-06,0.0003118746541648683,0.02380596588713617,1,0.0,1.0,0.0,0.02380596588713617,0.002154434690031882
2025-01-07,0.0046910114615662446,0.017261339944689952,1,1.0,0.0,0.0,0.017261339944689952,0.002154434690031882
2025-01-08,0.003555595187895745,-0.01916764033079299,1,1.0,0.0,0.0,-0.01916764033079299,0.002154434690031882
2025-01-10,0.002411236860977456,-0.04453536223407605,1,1.0,0.0,0.0,-0.04453536223407605,0.002154434690031882
2025-01-13,0.0038139204279990834,0.020945561756593675,1,1.0,0.0,0.0,0.020945561756593675,0.002154434690031882
2025-01-14,0.0033109713967933436,0.014242352738317502,1,1.0,0.0,0.0,0.014242352738317502,0.002154434690031882
2025-01-15,0.004306345676467187,0.017462564330738534,1,1.0,0.0,0.0,0.017462564330738534,0.002154434690031882
2025-01-16,0.0033178902593402845,0.023089866202137984,1,1.0,0.0,0.0,0.023089866202137984,0.002154434690031882
2025-01-17,0.007550415734684516,0.010474303106861739,1,1.0,0.0,0.0,0.010474303106861739,0.002154434690031882
2025-01-21,0.0037996679373816355,0.026832684524582685,1,1.0,0.0,0.0,0.026832684524582685,0.002154434690031882
2025-01-22,0.003219542079026776,-0.013830182106360391,1,1.0,0.0,0.0,-0.013830182106360391,0.002154434690031882
2025-01-23,0.00285316585504729,0.007781046130746187,1,1.0,0.0,0.0,0.007781046130746187,0.002154434690031882
2025-01-24,0.0022018382658901135,-0.13347123597512217,1,1.0,0.0,0.0,-0.13347123597512217,0.002154434690031882
2025-01-27,0.0062176205657624856,0.02822482202787373,1,1.0,0.0,0.0,0.02822482202787373,0.002154434690031882
2025-01-28,0.001800189619815856,-0.019492616395437423,1,1.0,0.0,0.0,-0.019492616395437423,0.002154434690031882
2025-01-29,0.0032693739867892656,-0.004862233932838957,1,1.0,0.0,0.0,-0.004862233932838957,0.002154434690031882
2025-01-30,0.0033104840094670598,-0.007004035761535319,1,1.0,0.0,0.0,-0.007004035761535319,0.002154434690031882
2025-01-31,0.0017933016077551838,-0.04531905456032325,1,1.0,0.0,0.0,-0.04531905456032325,0.002154434690031882
2025-02-03,0.004211151867308272,0.0025682354569784367,1,1.0,0.0,0.0,0.0025682354569784367,0.002154434690031882
2025-02-04,0.0027673542218028253,0.025873915915866495,1,1.0,0.0,0.0,0.025873915915866495,0.002154434690031882
2025-02-05,0.003680078831770236,0.020535875986766122,1,1.0,0.0,0.0,0.020535875986766122,0.002154434690031882
2025-02-06,0.002803359175300117,0.004187742123981239,1,1.0,0.0,0.0,0.004187742123981239,0.002154434690031882
2025-02-07,0.0034631203621525992,0.0019235954613344413,1,1.0,0.0,0.0,0.0019235954613344413,0.002154434690031882
2025-02-10,0.004866181158073525,-0.007439489199134852,1,1.0,0.0,0.0,-0.007439489199134852,0.002154434690031882
2025-02-11,0.007021772230091616,-0.02115594238608635,1,1.0,0.0,0.0,-0.02115594238608635,0.002154434690031882
2025-02-12,0.007616306851716326,0.0031975525822212094,1,1.0,0.0,0.0,0.0031975525822212094,0.002154434690031882
2025-02-13,0.007291180676666668,0.008757479449180016,1,1.0,0.0,0.0,0.008757479449180016,0.002154434690031882
2025-02-14,0.0022581959813620014,0.017278725456372965,1,1.0,0.0,0.0,0.017278725456372965,0.002154434690031882
2025-02-18,0.011848313753332522,0.0007887893630822314,1,1.0,0.0,0.0,0.0007887893630822314,0.002154434690031882
2025-02-19,-0.0008382254960874378,0.005729465415404981,-1,1.0,2.0,0.0,-0.005729465415404981,0.002154434690031882
2025-02-20,0.004357844355939754,-0.0004997845954040732,1,-1.0,2.0,0.0,-0.0004997845954040732,0.002154434690031882
2025-02-21,0.0021391503598887293,0.015720497625637254,1,1.0,0.0,0.0,0.015720497625637254,0.002154434690031882
2025-02-24,0.0033090797419113326,-0.002305411442128591,1,1.0,0.0,0.0,-0.002305411442128591,0.002154434690031882
2025-02-25,0.0013035508109987166,0.026188139905589783,1,1.0,0.0,0.0,0.026188139905589783,0.002154434690031882
2025-02-26,0.00397156756563574,0.02794234095506401,1,1.0,0.0,0.0,0.02794234095506401,0.002154434690031882
2025-02-27,0.005224674230622629,-0.01788690169700722,1,1.0,0.0,0.0,-0.01788690169700722,0.002154434690031882
2025-02-28,0.004511324618089278,-0.011351376011124077,1,1.0,0.0,0.0,-0.011351376011124077,0.002154434690031882
2025-03-03,0.002776257892945005,-0.030352524036615983,1,1.0,0.0,0.0,-0.030352524036615983,0.002154434690031882
2025-03-04,-0.0004667040153506102,0.013615006470533032,-1,1.0,2.0,0.0,-0.013615006470533032,0.002154434690031882
2025-03-05,0.0011343690249858117,-0.032667673251929465,1,-1.0,2.0,0.0,-0.032667673251929465,0.002154434690031882
2025-03-06,0.005408674901063291,0.006131119252062546,1,1.0,0.0,0.0,0.006131119252062546,0.002154434690031882
2025-03-07,0.0016724848682682435,-0.025069832335233144,1,1.0,0.0,0.0,-0.025069832335233144,0.002154434690031882
2025-03-10,0.0036461258014818137,9.34197016982097e-05,1,1.0,0.0,0.0,9.34197016982097e-05,0.002154434690031882
2025-03-11,0.003431654511027395,0.04819885234651063,1,1.0,0.0,0.0,0.04819885234651063,0.002154434690031882
2025-03-12,0.005279623432554758,0.011084024067445993,1,1.0,0.0,0.0,0.011084024067445993,0.002154434690031882
2025-03-13,0.011928013699253639,0.02587785845510764,1,1.0,0.0,0.0,0.02587785845510764,0.002154434690031882
2025-03-14,0.003109823216554451,0.00875583280642798,1,1.0,0.0,0.0,0.00875583280642798,0.002154434690031882
2025-03-17,0.006851019712102202,-0.01288275121169964,1,1.0,0.0,0.0,-0.01288275121169964,0.002154434690031882
2025-03-18,0.004773720765392598,0.01581465157665412,1,1.0,0.0,0.0,0.01581465157665412,0.002154434690031882
2025-03-19,-0.0012198859104791287,-0.008288111634961967,-1,1.0,2.0,0.0,0.008288111634961967,0.002154434690031882
2025-03-20,0.0035987721285283885,-0.013505079167773376,1,-1.0,2.0,0.0,-0.013505079167773376,0.002154434690031882
2025-03-21,0.004687158954175668,0.01835223119941053,1,1.0,0.0,0.0,0.01835223119941053,0.002154434690031882
2025-03-24,0.0023062956764643857,-0.0071086477765780805,1,1.0,0.0,0.0,-0.0071086477765780805,0.002154434690031882
2025-03-25,0.0038051291196524195,-0.01637325890716633,1,1.0,0.0,0.0,-0.01637325890716633,0.002154434690031882
2025-03-26,0.0029918611824838065,-0.02141260483339896,1,1.0,0.0,0.0,-0.02141260483339896,0.002154434690031882
2025-03-27,0.005065525774851223,0.0005382878210594646,1,1.0,0.0,0.0,0.0005382878210594646,0.002154434690031882
2025-03-28,0.0025326266417099287,-0.04227818661391645,1,1.0,0.0,0.0,-0.04227818661391645,0.002154434690031882
2025-03-31,0.003717190898934892,0.0012909120611330385,1,1.0,0.0,0.0,0.0012909120611330385,0.002154434690031882
2025-04-01,0.0017532653563742545,-0.026307629919230593,1,1.0,0.0,0.0,-0.026307629919230593,0.002154434690031882
2025-04-02,0.003008741016047167,-0.06462301323968983,1,1.0,0.0,0.0,-0.06462301323968983,0.002154434690031882
2025-04-03,0.009559073820212384,-0.02879975131798522,1,1.0,0.0,0.0,-0.02879975131798522,0.002154434690031882
2025-04-04,-0.0003452357747637607,-0.07540566715193878,-1,1.0,2.0,0.0,0.07540566715193878,0.002154434690031882
2025-04-07,0.0015416760188463384,0.06127504241340883,1,-1.0,2.0,0.0,0.06127504241340883,0.002154434690031882
2025-04-08,0.000573393788591644,0.026539764615682648,1,1.0,0.0,0.0,0.026539764615682648,0.002154434690031882
2025-04-09,0.006117131536899292,-0.044352365109511536,1,1.0,0.0,0.0,-0.044352365109511536,0.002154434690031882
2025-04-10,0.002583311735618261,0.008608377373597317,1,1.0,0.0,0.0,0.008608377373597317,0.002154434690031882
2025-04-11,0.00201092721598367,0.02826352629375376,1,1.0,0.0,0.0,0.02826352629375376,0.002154434690031882
