date,mu_hat,sigma_hat,z_score,y_real,signal,pnl,signal_prev,delta_pos,cost,hyperparam
2025-01-06,0.005564397497361064,0.015476424542509925,0.35954024665561707,0.02380596588713617,1,0.02380596588713617,0.0,1.0,0.0,"GARCH(p=2, q=1), AR lags=0, dist=normal"
2025-01-07,0.004203986934183766,0.015403448933535105,0.2729250411595286,0.017261339944689952,0,0.0,1.0,1.0,0.0,"GARCH(p=2, q=1), AR lags=0, dist=normal"
2025-01-08,0.0008734993304805681,0.014829348721204633,0.05890341827564839,-0.01916764033079299,0,-0.0,0.0,0.0,0.0,"GARCH(p=2, q=1), AR lags=0, dist=normal"
2025-01-10,0.0048614644550589725,0.015308570874248206,0.31756487885076445,-0.04453536223407605,1,-0.04453536223407605,0.0,1.0,0.0,"GARCH(p=2, q=1), AR lags=0, dist=normal"
2025-01-13,-0.014185966326552758,0.021105984773581297,-0.6721300369888242,0.020945561756593675,-1,-0.020945561756593675,1.0,2.0,0.0,"GARCH(p=2, q=1), AR lags=0, dist=normal"
2025-01-14,0.002660392802221135,0.020746170681782698,0.12823536656609297,0.014242352738317502,0,0.0,-1.0,1.0,0.0,"GARCH(p=2, q=1), AR lags=0, dist=normal"
2025-01-15,0.013232144706836941,0.017687270361652508,0.7481168341003791,0.017462564330738534,1,0.017462564330738534,0.0,1.0,0.0,"GARCH(p=2, q=1), AR lags=0, dist=normal"
2025-01-16,0.004088199335718854,0.0155702195727719,0.2625652975933626,0.023089866202137984,0,0.0,1.0,1.0,0.0,"GARCH(p=2, q=1), AR lags=0, dist=normal"
2025-01-17,0.003826135374586992,0.01554199940961455,0.24618038347241725,0.010474303106861739,0,0.0,0.0,0.0,0.0,"GARCH(p=2, q=1), AR lags=0, dist=normal"
2025-01-21,0.0019048192574717803,0.01447137177743379,0.13162672390478536,0.026832684524582685,0,0.0,0.0,0.0,0.0,"GARCH(p=2, q=1), AR lags=0, dist=normal"
2025-01-22,0.00023614201079765525,0.015845769413892208,0.014902527269557908,-0.013830182106360391,0,-0.0,0.0,0.0,0.0,"GARCH(p=2, q=1), AR lags=0, dist=normal"
2025-01-23,-0.00018172578360360929,0.015151166406406855,-0.011994177789953145,0.007781046130746187,0,0.0,0.0,0.0,0.0,"GARCH(p=2, q=1), AR lags=0, dist=normal"
