Model,Ann Return,Ann Vol,Sharpe,Max Drawdown,Ann Turnover,Start,End,N
Ridge_FixedFWD_Resid,0.5349230666236202,0.41844137935062364,1.2783703835738323,-0.20932732344509797,155.89830508474577,2025-01-06,2025-06-26,118
Lasso_FixedFWD_Resid,-0.15148277003078753,0.419698155695047,-0.360932655946325,-0.32278344608415444,2.135593220338983,2025-01-06,2025-06-26,118
ENet_FixedFWD_Resid,-0.15148277003078753,0.419698155695047,-0.360932655946325,-0.32278344608415444,2.135593220338983,2025-01-06,2025-06-26,118
XGB_Selected_Feats_FixedFWD,0.18484603448931905,0.4210965088461782,0.4389635881708086,-0.27209942082399763,36.30508474576271,2025-01-06,2025-06-26,118
ARXGARCH_FixedFWD_Resid,-0.1773204367098559,0.3010797432271994,-0.5889484121688225,-0.2409439973751124,132.40677966101697,2025-01-06,2025-06-26,118
BH NVDA CO,-0.10064291067859839,0.4212107289555505,-0.23893719641984482,-0.3227834460841543,0.0,2025-01-06,2025-06-26,118
BH NVDA CC,0.07945013857637245,0.6387781319320134,0.12437830070367611,-0.3954898304871044,0.0,2025-01-07,2025-06-26,117
SOXX CC,0.10098710838054972,0.4855313532856945,0.2079929703759569,-0.35834759245608994,0.0,2025-01-07,2025-06-26,117
