date,y_hat,y_real,alpha,signal,signal_prev,cost,pnl
2025-01-06,0.01739333685569322,0.02380596588713617,100.0,1,0.0,0.0,0.0
2025-01-07,0.013973906446501006,0.017261339944689952,100.0,1,1.0,0.0,0.017261339944689952
2025-01-08,0.010189986866010439,-0.01916764033079299,100.0,1,1.0,0.0,-0.01916764033079299
2025-01-10,0.011787064816622934,-0.04453536223407605,100.0,1,1.0,0.0,-0.04453536223407605
2025-01-13,-0.001758274597124548,0.020945561756593675,100.0,-1,1.0,0.0,0.020945561756593675
2025-01-14,0.013799695763772797,0.014242352738317502,100.0,1,-1.0,0.0,-0.014242352738317502
2025-01-15,0.025061156804745507,0.017462564330738534,100.0,1,1.0,0.0,0.017462564330738534
2025-01-16,0.013542828760399028,0.023089866202137984,100.0,1,1.0,0.0,0.023089866202137984
2025-01-17,0.017986981175213298,0.010474303106861739,100.0,1,1.0,0.0,0.010474303106861739
2025-01-21,0.024488651589434317,0.026832684524582685,100.0,1,1.0,0.0,0.026832684524582685
2025-01-22,0.010857614780874537,-0.013830182106360391,100.0,1,1.0,0.0,-0.013830182106360391
2025-01-23,0.005462275629000292,0.007781046130746187,100.0,1,1.0,0.0,0.007781046130746187
2025-01-24,-0.009213859780722797,-0.13347123597512217,100.0,-1,1.0,0.0,-0.13347123597512217
2025-01-27,0.0066022712470828245,0.02822482202787373,100.0,1,-1.0,0.0,-0.02822482202787373
2025-01-28,-0.0008010421046978351,-0.019492616395437423,100.0,-1,1.0,0.0,-0.019492616395437423
2025-01-29,-0.005132443140978318,-0.004862233932838957,100.0,-1,-1.0,0.0,0.004862233932838957
2025-01-30,0.009858123010447683,-0.007004035761535319,100.0,1,-1.0,0.0,0.007004035761535319
2025-01-31,-0.01470067774869685,-0.04531905456032325,100.0,-1,1.0,0.0,-0.04531905456032325
2025-02-03,0.0018294005101465974,0.0025682354569784367,100.0,1,-1.0,0.0,-0.0025682354569784367
2025-02-04,0.0143931797079244,0.025873915915866495,100.0,1,1.0,0.0,0.025873915915866495
2025-02-05,-0.001363892435621066,0.020535875986766122,100.0,-1,1.0,0.0,0.020535875986766122
2025-02-06,0.01775659011201239,0.004187742123981239,100.0,1,-1.0,0.0,-0.004187742123981239
2025-02-07,0.005493750528061351,0.0019235954613344413,100.0,1,1.0,0.0,0.0019235954613344413
2025-02-10,0.018469201585587864,-0.007439489199134852,100.0,1,1.0,0.0,-0.007439489199134852
2025-02-11,0.0038912755984880365,-0.02115594238608635,100.0,1,1.0,0.0,-0.02115594238608635
2025-02-12,0.0010078240747678512,0.0031975525822212094,100.0,1,1.0,0.0,0.0031975525822212094
2025-02-13,9.606357745016317e-05,0.008757479449180016,100.0,1,1.0,0.0,0.008757479449180016
2025-02-14,0.0013862493546877254,0.017278725456372962,100.0,1,1.0,0.0,0.017278725456372962
2025-02-18,0.0250543904259218,0.0007887893630822314,100.0,1,1.0,0.0,0.0007887893630822314
2025-02-19,-0.00814682045594483,0.005729465415404981,100.0,-1,1.0,0.0,0.005729465415404981
2025-02-20,0.004498912644583776,-0.0004997845954040732,100.0,1,-1.0,0.0,0.0004997845954040732
2025-02-21,0.013264071122700973,0.015720497625637254,100.0,1,1.0,0.0,0.015720497625637254
2025-02-24,0.016417504218556155,-0.002305411442128591,100.0,1,1.0,0.0,-0.002305411442128591
2025-02-25,0.01260634053953588,0.026188139905589783,100.0,1,1.0,0.0,0.026188139905589783
2025-02-26,0.010121220100334607,0.02794234095506401,100.0,1,1.0,0.0,0.02794234095506401
2025-02-27,0.0019136436705537829,-0.01788690169700722,100.0,1,1.0,0.0,-0.01788690169700722
2025-02-28,-0.0018695854941571167,-0.011351376011124077,100.0,-1,1.0,0.0,-0.011351376011124077
2025-03-03,-0.0031521250776385536,-0.030352524036615983,100.0,-1,-1.0,0.0,0.030352524036615983
2025-03-04,-0.006659563594539682,0.013615006470533032,100.0,-1,-1.0,0.0,-0.013615006470533032
2025-03-05,0.004134675777830882,-0.032667673251929465,100.0,1,-1.0,0.0,0.032667673251929465
